title,year,runtime_min,genre,imdb_rating,director,votes,Gross,title_norm,year_norm,review_count,avg_review_rating,avg_review_len,fear_review_ratio,avg_fear_count,avg_fear_density,pos_ratio,neu_ratio,neg_ratio,runtime,log_votes
Hellboy II: The Golden Army,2008,120,"Action, Adventure, Fantasy",7.0,Guillermo del Toro,278818,$75.75M,hellboy ii: the golden army,2008.0,1.0,8.0,527.0,0.0,0.0,0.0,1.0,0.0,0.0,0,12.538318104757359
Green Room,2015,95,"Crime, Drama, Horror",7.0,Jeremy Saulnier,131693,$3.22M,green room,2015.0,2.0,7.5,856.5,0.5,1.0,0.0033444816053511705,1.0,0.0,0.0,0,11.788236328607011
Fright Night,1985,106,"Fantasy, Horror",7.0,Tom Holland,74547,$24.92M,fright night,1985.0,2.0,9.0,1052.0,1.0,7.5,0.05314055917273075,1.0,0.0,0.0,0,11.219198492200556
Raw,2016,99,"Drama, Horror",7.0,Julia Ducournau,83304,$0.51M,raw,2016.0,5.0,7.2,1164.2,0.8,2.6,0.019266150516150514,0.8,0.2,0.0,0,11.330263850363169
Brotherhood of the Wolf,2001,142,"Action, Adventure, Drama",7.0,Christophe Gans,68793,$11.26M,brotherhood of the wolf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.138871810816157
Shutter II,2004,97,"Horror, Mystery, Thriller",7.0,Banjong Pisanthanakun,47015,,shutter ii,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.758243248292487
Thelma,2017,116,"Drama, Fantasy, Horror",7.0,Joachim Trier,34644,$0.15M,thelma,2017.0,2.0,6.5,344.5,0.5,0.5,0.004901960784313725,0.5,0.5,0.0,0,10.452908694061481
Henry: Portrait of a Serial Killer,1986,83,"Biography, Crime, Drama",7.0,John McNaughton,38529,$0.61M,henry: portrait of a serial killer,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.559192437620203
Tenebrae,1982,101,"Drama, Horror, Mystery",7.0,Dario Argento,25691,,tenebrae,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.153934938377683
Carnival of Souls,1962,78,"Horror, Mystery",7.0,Herk Harvey,26143,,carnival of souls,1962.0,4.0,6.5,1684.0,1.0,4.25,0.017052903951230675,0.75,0.0,0.25,0,10.17137499765973
The Mummy,1932,73,"Fantasy, Horror",7.0,Karl Freund,28354,,the mummy,1932.0,3.0,6.666666666666667,1106.6666666666667,1.0,2.3333333333333335,0.011888579731162667,0.6666666666666666,0.3333333333333333,0.0,0,10.252558660448129
Doctor Strange in the Multiverse of Madness,2022,126,"Action, Adventure, Fantasy",6.9,Sam Raimi,440936,$411.33M,doctor strange in the multiverse of madness,2022.0,10.0,6.0,728.2,0.5,1.4,0.009333736909373638,0.5,0.1,0.1,0,12.996657287081073
The Black Phone,2021,103,"Horror, Thriller",6.9,Scott Derrickson,168369,$90.12M,the black phone,2021.0,10.0,6.6,691.4,0.8,2.7,0.025012187112725216,0.7,0.2,0.1,0,12.033919217651846
The VVitch: A New-England Folktale,2015,92,"Drama, Fantasy, Horror",6.9,Robert Eggers,277751,$25.14M,the vvitch: a new-england folktale,2015.0,4.0,8.0,1570.25,1.0,5.75,0.022918589015884235,1.0,0.0,0.0,0,12.534483908196023
Climax I,2018,97,"Drama, Horror, Music",6.9,Gaspar Noé,73695,$0.80M,climax i,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.207703802620411
28 Weeks Later,2007,100,"Action, Adventure, Horror",6.9,Juan Carlos Fresnadillo,284000,$28.64M,28 weeks later,2007.0,6.0,6.666666666666667,1223.0,0.6666666666666666,4.0,0.016517191531433342,0.6666666666666666,0.16666666666666666,0.16666666666666666,0,12.556733038263905
Hocus Pocus,1993,96,"Comedy, Family, Fantasy",6.9,Kenny Ortega,145947,$44.34M,hocus pocus,1993.0,7.0,6.142857142857143,1197.2857142857142,0.8571428571428571,2.4285714285714284,0.010437920949145151,0.42857142857142855,0.2857142857142857,0.2857142857142857,0,11.891005672865314
Hellraiser,1987,94,"Horror, Thriller",6.9,Clive Barker,132887,$14.56M,hellraiser,1987.0,1.0,8.0,1123.0,1.0,6.0,0.02830188679245283,1.0,0.0,0.0,0,11.797261947170913
Near Dark,1987,94,Horror,6.9,Kathryn Bigelow,42670,$3.37M,near dark,1987.0,1.0,7.0,560.0,1.0,3.0,0.02857142857142857,1.0,0.0,0.0,0,10.661274811576522
Ravenous,1999,101,"Adventure, Drama, Horror",6.9,Antonia Bird,41616,$2.06M,ravenous,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.636264016619267
Altered States,1980,102,"Horror, Sci-Fi, Thriller",6.9,Ken Russell,36892,$19.85M,altered states,1980.0,1.0,7.0,2823.0,1.0,7.0,0.014112903225806451,1.0,0.0,0.0,0,10.515777110135918
Stir of Echoes,1999,99,"Horror, Mystery, Thriller",6.9,David Koepp,84251,$21.13M,stir of echoes,1999.0,1.0,9.0,2664.0,1.0,8.0,0.017204301075268817,1.0,0.0,0.0,0,11.34156758680525
Bubba Ho-Tep,2002,92,"Comedy, Fantasy, Horror",6.9,Don Coscarelli,50182,$2.00M,bubba ho-tep,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.823431602908185
A Girl Walks Home Alone at Night,2014,101,"Drama, Horror, Romance",6.9,Ana Lily Amirpour,37115,,a girl walks home alone at night,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.52180342247307
The Monster Squad,1987,79,"Action, Comedy, Fantasy",6.9,Fred Dekker,33711,$3.77M,the monster squad,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.42560913604397
Creature from the Black Lagoon,1954,79,"Horror, Sci-Fi",6.9,Jack Arnold,32344,$1.30M,creature from the black lagoon,1954.0,3.0,7.666666666666667,2010.3333333333333,1.0,11.0,0.034148702564392834,1.0,0.0,0.0,0,10.384214728478085
